Anno 2011, ospedale 01090101, specialità 1, totale pazienti 309
Anno 2011, ospedale 01090302, specialità 1, totale pazienti 201
Anno 2011, ospedale 01000300, specialità 2, totale pazienti 283
Anno 2011, ospedale 01000403, specialità 2, totale pazienti 356
Anno 2011, ospedale 01000601, specialità 2, totale pazienti 55
Anno 2011, ospedale 01000700, specialità 2, totale pazienti 3046
Anno 2011, ospedale 01000801, specialità 2, totale pazienti 542
Anno 2011, ospedale 01000901, specialità 2, totale pazienti 71
Anno 2011, ospedale 01001000, specialità 2, totale pazienti 97
Anno 2011, ospedale 01001100, specialità 2, totale pazienti 720
Anno 2011, ospedale 01001901, specialità 2, totale pazienti 554
Anno 2011, ospedale 01001903, specialità 2, totale pazienti 812
Anno 2011, ospedale 01002302, specialità 2, totale pazienti 265
Anno 2011, ospedale 01002604, specialità 2, totale pazienti 299
Anno 2011, ospedale 01002605, specialità 2, totale pazienti 178
Anno 2011, ospedale 01002606, specialità 2, totale pazienti 200
Anno 2011, ospedale 01003002, specialità 2, totale pazienti 50
Anno 2011, ospedale 01003003, specialità 2, totale pazienti 19
Anno 2011, ospedale 01007905, specialità 2, totale pazienti 166
Anno 2011, ospedale 01012402, specialità 2, totale pazienti 64
Anno 2011, ospedale 01012601, specialità 2, totale pazienti 1256
Anno 2011, ospedale 01065400, specialità 2, totale pazienti 189
Anno 2011, ospedale 01088200, specialità 2, totale pazienti 2303
Anno 2011, ospedale 01089700, specialità 2, totale pazienti 3516
Anno 2011, ospedale 01090104, specialità 2, totale pazienti 377
Anno 2011, ospedale 01090400, specialità 2, totale pazienti 4054
Anno 2011, ospedale 01090501, specialità 2, totale pazienti 15
Anno 2011, ospedale 01090600, specialità 2, totale pazienti 1437
Anno 2011, ospedale 01090701, specialità 2, totale pazienti 1486
Anno 2011, ospedale 01000902, specialità 4, totale pazienti 377
Anno 2011, ospedale 01008500, specialità 4, totale pazienti 328
Anno 2011, ospedale 01090201, specialità 4, totale pazienti 504
Anno 2011, ospedale 01090302, specialità 4, totale pazienti 193
Anno 2011, ospedale 01090302, specialità 6, totale pazienti 123
Anno 2011, ospedale 01061100, specialità 7, totale pazienti 508
Anno 2011, ospedale 01062800, specialità 7, totale pazienti 240
Anno 2011, ospedale 01064300, specialità 7, totale pazienti 49
Anno 2011, ospedale 01090101, specialità 7, totale pazienti 432
Anno 2011, ospedale 01090501, specialità 7, totale pazienti 179
Anno 2011, ospedale 01090600, specialità 7, totale pazienti 317
Anno 2011, ospedale 01090701, specialità 7, totale pazienti 177
Anno 2011, ospedale 01090800, specialità 7, totale pazienti 99
Anno 2011, ospedale 01000300, specialità 8, totale pazienti 863
Anno 2011, ospedale 01000401, specialità 8, totale pazienti 1
Anno 2011, ospedale 01000402, specialità 8, totale pazienti 647
Anno 2011, ospedale 01000403, specialità 8, totale pazienti 2
Anno 2011, ospedale 01000501, specialità 8, totale pazienti 290
Anno 2011, ospedale 01000502, specialità 8, totale pazienti 144
Anno 2011, ospedale 01000601, specialità 8, totale pazienti 333
Anno 2011, ospedale 01000700, specialità 8, totale pazienti 319
Anno 2011, ospedale 01000801, specialità 8, totale pazienti 686
Anno 2011, ospedale 01000901, specialità 8, totale pazienti 705
Anno 2011, ospedale 01000902, specialità 8, totale pazienti 323
Anno 2011, ospedale 01001100, specialità 8, totale pazienti 531
Anno 2011, ospedale 01001700, specialità 8, totale pazienti 202
Anno 2011, ospedale 01001901, specialità 8, totale pazienti 472
Anno 2011, ospedale 01001903, specialità 8, totale pazienti 1
Anno 2011, ospedale 01002301, specialità 8, totale pazienti 376
Anno 2011, ospedale 01002601, specialità 8, totale pazienti 481
Anno 2011, ospedale 01002602, specialità 8, totale pazienti 2
Anno 2011, ospedale 01002603, specialità 8, totale pazienti 165
Anno 2011, ospedale 01002604, specialità 8, totale pazienti 222
Anno 2011, ospedale 01002605, specialità 8, totale pazienti 30
Anno 2011, ospedale 01002606, specialità 8, totale pazienti 1
Anno 2011, ospedale 01003001, specialità 8, totale pazienti 185
Anno 2011, ospedale 01003002, specialità 8, totale pazienti 1
Anno 2011, ospedale 01007901, specialità 8, totale pazienti 1095
Anno 2011, ospedale 01007902, specialità 8, totale pazienti 1
Anno 2011, ospedale 01007904, specialità 8, totale pazienti 2
Anno 2011, ospedale 01007905, specialità 8, totale pazienti 1
Anno 2011, ospedale 01008500, specialità 8, totale pazienti 543
Anno 2011, ospedale 01012001, specialità 8, totale pazienti 117
Anno 2011, ospedale 01012002, specialità 8, totale pazienti 1
Anno 2011, ospedale 01012401, specialità 8, totale pazienti 196
Anno 2011, ospedale 01012402, specialità 8, totale pazienti 1
Anno 2011, ospedale 01012601, specialità 8, totale pazienti 414
Anno 2011, ospedale 01012602, specialità 8, totale pazienti 1
